SEQ COD;DATA;BP;CLIENTE;UF;MUNICIPIO;NF;CÓDIGO;PRODUTO;QTD;R$ UN VND;VALOR;LOTE;REP;CANAL;MOTIVO;OBS;TRATATIVA;ANALISTA
4589075784;21/08/2025;75784;GB COMERCIO E SERVICOS LTDA;SP;SAO PAULO;158221.0;901705;LAPIS COR BAZZE WAVE REC SEXT 24COR CJTO;82.0;49.711;4.076.302;;WAGNER APARECIDO RAPOSO LTDA;UNIDADE;EXTRAVIADO;FALTA DE 2 LÁPIS POR CAIXA;ABATIMENTO;ANDREIA AGUIAR GARCIA GASPARONI
4589466009;25/08/2025;66009;COMERCIAL PLANETA BLU LTDA;SC;BLUMENAU;140640.0;905093;CANETA GEL TRIS RAINBOW 1.0 DP 24UN;9.0;851.475;;;SABRI RIBEIRO REPRESENTACOES E COME;UNIDADE;DEFEITO;CANETAS COM VAZAMENTO;ABATIMENTO;GABRIELA SOUZA DOS SANTOS
4589466009;25/08/2025;66009;COMERCIAL PLANETA BLU LTDA;SC;BLUMENAU;86145.0;681252;COLA BASTAO STICK ULTRA 40G SHRINK 6UN;7.0;29.199.375;;;SABRI RIBEIRO REPRESENTACOES E COME;UNIDADE;MOFADO;MOFADAS;ABATIMENTO;GABRIELA SOUZA DOS SANTOS
4589435376;25/08/2025;35376;JVETEC INFORMATICA LTDA;SC;SAO LUDGERO;155048.0;613031;GRAMP BAZZE B5315 50F METAL UN;2.0;21.27;42.54;;SABRI RIBEIRO REPRESENTACOES E COME;UNIDADE;DEFEITO;TRAVAMENTO AO GRAMPEAR;ABATIMENTO;GABRIELA SOUZA DOS SANTOS
4589485941;25/08/2025;85941;MONAYRA MATIAS OLIVEIRA;RJ;MARICA;157067.0;910745;COPO PLASTICO TRIS HOLIC SHAKE CX 1UN;4.0;19.44;77.76;;JJM REPRESENTACOES LTDA;UNIDADE;AVARIADO;PRODUTO TRINCADO;ABATIMENTO;ANDREIA AGUIAR GARCIA GASPARONI
4589485941;25/08/2025;85941;MONAYRA MATIAS OLIVEIRA;RJ;MARICA;154234.0;908605;TINTA GUACHE TRIS 250ML VD POTE;30.0;4.446;133.38;;JJM REPRESENTACOES LTDA;UNIDADE;MOFADO;SEM MOTIVO;ABATIMENTO;ANDREIA AGUIAR GARCIA GASPARONI
4589780320;28/08/2025;80320;M. L. MIRANDA GOMES LTDA;CE;MASSAPE;;901385;CANETA ESF BAZZE PRISMA 1.0 AZ CX 50UN;30.0;20.18;605.4;;PAUTA REPRESENTACOES LTDA;CAIXA;DEFEITO;FALHA NA ESCRITA;BONIFICAÇÃO;ADRIANO FALCAO SARMENTO
4589788166;28/08/2025;88166;V. S. RIBEIRO PESSANHA PAPELARIA LT;SP;UBATUBA;155876.0;910295;CANETA GEL TRIS ESPRESSO RET 0.5 DP 18UN;1.0;106.56;106.56;;REPRESENTACOES J C LEMOS LTDA;UNIDADE;DEFEITO;CANETAS COM VAZAMENTO;ABATIMENTO;FABIANA DOS SANTOS CHAVES
4589835370;29/08/2025;35370;PAPEMIX PAPELARIA E PRESENTES LTDAME;PR;SAO JOSE DOS PINHAIS;158533.0;910745;COPO PLASTICO TRIS HOLIC SHAKE CX 1UN;2.0;19.98;39.96;;ETK REPRESENTACOES COMERCIAIS LTDA;UNIDADE;AVARIADO;PRODUTO TRINCADO;ABATIMENTO;GABRIELA SOUZA DOS SANTOS
4589835370;29/08/2025;35370;PAPEMIX PAPELARIA E PRESENTES LTDAME;PR;SAO JOSE DOS PINHAIS;158533.0;910745;COPO PLASTICO TRIS HOLIC SHAKE CX 1UN;2.0;19.98;39.96;;ETK REPRESENTACOES COMERCIAIS LTDA;UNIDADE;AVARIADO;PRODUTO TRINCADO;ABATIMENTO;GABRIELA SOUZA DOS SANTOS
4590177586;01/09/2025;77586;MELANIA TEREZINHA CRUZ DE SOUZA;RS;VIAMAO;158931.0;911278;KIT GEOMETRICO TRIS ESTOJO 7PCS;4.0;13.44;53.76;;MAX BREUEL E CIA LTDA;UNIDADE;AVARIADO;TAMPA DO ESTOJO QUEBRADAS;BONIFICAÇÃO;ANDREIA AGUIAR GARCIA GASPARONI
4590173459;01/09/2025;73459;ZINGRA E ZINGRA ARAUJO LTDA;SP;MOGI GUACU;155530.0;683386;CANETA GEL TRIS INKFINITY PASTEL CART3UN;5.36;43.0;23.048.000.000.000.000;;M Y YAMAMOTO REPRESENTACAO;CARTELA;DEFEITO;FALHA NA ESCRITA;DEVOLUÇÃO;FABIANA DOS SANTOS CHAVES
