SEQ COD;DATA;BP;CLIENTE;UF;MUNICIPIO;NF;CÓDIGO;PRODUTO;QTD;R$ UN VND;VALOR;LOTE;REP;CANAL;MOTIVO;OBS;TRATATIVA;ANALISTA
4589788166;28/08/2025;88166;V. S. RIBEIRO PESSANHA PAPELARIA LT;SP;UBATUBA;155876;910295;CANETA GEL TRIS ESPRESSO RET 0.5 DP 18UN; 1,00 ; 106,56 ; 106,56 ;;REPRESENTACOES J C LEMOS LTDA;UNIDADE;DEFEITO;CANETAS COM VAZAMENTO;ABATIMENTO;FABIANA DOS SANTOS CHAVES
4589835370;29/08/2025;35370;PAPEMIX PAPELARIA E PRESENTES LTDAME;PR;SAO JOSE DOS PINHAIS;158533;910745;COPO PLASTICO TRIS HOLIC SHAKE CX 1UN; 2,00 ; 19,98 ; 39,96 ;;ETK REPRESENTACOES COMERCIAIS LTDA;UNIDADE;AVARIADO;PRODUTO TRINCADO;ABATIMENTO;GABRIELA SOUZA DOS SANTOS
4589835370;29/08/2025;35370;PAPEMIX PAPELARIA E PRESENTES LTDAME;PR;SAO JOSE DOS PINHAIS;158533;910745;COPO PLASTICO TRIS HOLIC SHAKE CX 1UN; 2,00 ; 19,98 ; 39,96 ;;ETK REPRESENTACOES COMERCIAIS LTDA;UNIDADE;AVARIADO;PRODUTO TRINCADO;ABATIMENTO;GABRIELA SOUZA DOS SANTOS
4590177586;01/09/2025;77586;MELANIA TEREZINHA CRUZ DE SOUZA;RS;VIAMAO;158931;911278;KIT GEOMETRICO TRIS ESTOJO 7PCS; 4,00 ; 13,44 ; 53,76 ;;MAX BREUEL E CIA LTDA;UNIDADE;AVARIADO;TAMPA DO ESTOJO QUEBRADAS;BONIFICAÇÃO;ANDREIA AGUIAR GARCIA GASPARONI
4590173459;01/09/2025;73459;ZINGRA E ZINGRA ARAUJO LTDA;SP;MOGI GUACU;155530;683386;CANETA GEL TRIS INKFINITY PASTEL CART3UN; 5,36 ; 43,00 ; 230,48 ;;M Y YAMAMOTO REPRESENTACAO;CARTELA;DEFEITO;FALHA NA ESCRITA;DEVOLUÇÃO;FABIANA DOS SANTOS CHAVES
4590335714;03/09/2025;35714;STILL INFORMATICA LTDA ME;SP;CAPIVARI;159470;910219;APONTADOR DEP E BORR TRIS SODA DP16UN; 1,00 ; 128,48 ; 128,48 ;;M Y YAMAMOTO REPRESENTACAO;UNIDADE;DEFEITO;PROBLEMA NA EMBALAGEM;ABATIMENTO;FABIANA DOS SANTOS CHAVES
4590431594;04/09/2025;31594;BAZAR E PAPELARIA GRAFFITE LTDA;RS;SANTA CRUZ DO SUL;155038;614526;GRAMP BAZZE B5308 25F PLAST UN; 1,00 ; 6,10 ; 6,10 ;;MAX BREUEL E CIA LTDA;UNIDADE;DEFEITO;NÃO ESTA GRAMPEANDO;ABATIMENTO;ANDREIA AGUIAR GARCIA GASPARONI
4590431594;04/09/2025;31594;BAZAR E PAPELARIA GRAFFITE LTDA;RS;SANTA CRUZ DO SUL;77995;613024;GRAMP BAZZE B5314 40F METAL PTO UN; 1,00 ; 17,50 ; 17,50 ;;MAX BREUEL E CIA LTDA;UNIDADE;DEFEITO;NÃO ESTA GRAMPEANDO;ABATIMENTO;ANDREIA AGUIAR GARCIA GASPARONI
4590471697;04/09/2025;71697;CATARINA SAAD HENRIQUES;SC;SAO JOSE;159870;909558;LAPIS PTO CRISTAL MARIE PT 36UN; 36,00 ; 46,16 ;;;SABRI RIBEIRO REPRESENTACOES E COME;UNIDADE;DEFEITO;LAPIS COM EXCESSO DE COLA;ABATIMENTO;GABRIELA SOUZA DOS SANTOS
4590469640;04/09/2025;69640;MAGIC PLACE PAPELARIA LTDA;SP;SAO PAULO;154375;906755;BORRACHA TRIS HOLIC MORANGO DP 24UN; 6,00 ; 96,06 ; 576,36 ;;JYL REPRESENTACOES LTDA ME;UNIDADE;DEFEITO;SEM CHEIRO;DEVOLUÇÃO;FABIANA DOS SANTOS CHAVES
4590477282;04/09/2025;77282;TRICOTAR AVIAMENTOS LAS E LINHAS LTDA;RS;NOVO HAMBURGO;139359;905093;CANETA GEL TRIS RAINBOW 1.0 DP 24UN; 5,00 ; 4,74 ; 23,70 ;;MAX BREUEL E CIA LTDA;UNIDADE;DEFEITO;CANETAS COM VAZAMENTO;ABATIMENTO;ANDREIA AGUIAR GARCIA GASPARONI
4590582027;05/09/2025;82027;SALAO NOVO BATEL LTDA;PR;CURITIBA;152178;906755;BORRACHA TRIS HOLIC MORANGO DP 24UN; 13,00 ; 4,11 ; 53,47 ;;ETK REPRESENTACOES COMERCIAIS LTDA;UNIDADE;DEFEITO;SEM CHEIRO;SEM RETORNO;GABRIELA SOUZA DOS SANTOS
4590570970;05/09/2025;70970;DISTRIBUIDORA ROQUE LTDA;CE;CRATO;;607221;HIDROCOR PF TRIS METALICA 6COR CJTO; 10,00 ; 16,16 ; 161,60 ;;PAUTA REPRESENTACOES LTDA;UNIDADE;DEFEITO;FALHA NA ESCRITA;DEVOLUÇÃO;ADRIANO FALCAO SARMENTO
4590570970;05/09/2025;70970;DISTRIBUIDORA ROQUE LTDA;CE;CRATO;;603261;LAPIS PTO COLLECTION FRUITS POTE72UN; 5,00 ; 14,62 ; 73,10 ;;PAUTA REPRESENTACOES LTDA;UNIDADE;DEFEITO;FALHA NA ESCRITA;DEVOLUÇÃO;ADRIANO FALCAO SARMENTO
4590570970;05/09/2025;70970;DISTRIBUIDORA ROQUE LTDA;CE;CRATO;;686448;GIZ RETRATIL FRUITS 8 CORES CJTO; 6,00 ; 15,39 ; 92,34 ;;PAUTA REPRESENTACOES LTDA;UNIDADE;DEFEITO;DERRETIMENTO;DEVOLUÇÃO;ADRIANO FALCAO SARMENTO
4590634363;06/09/2025;34363;PAPELARIA ESKEMA LTDA;PA;MARABA;129495;904706;AQUARELA BAZZE 12 CORES CJTO; 5,00 ; 4,49 ; 22,43 ;;RBR PRIME SERV DE REPRESENTACAO COM;UNIDADE;DEFEITO;DERRETIMENTO;ABATIMENTO;FABIANA DOS SANTOS CHAVES
4590634363;06/09/2025;34363;PAPELARIA ESKEMA LTDA;PA;MARABA;129495;618647;CALCULADORA MESA BAZZE B3562 CX 1UN; 1,00 ; 13,61 ; 13,61 ;;RBR PRIME SERV DE REPRESENTACAO COM;UNIDADE;DEFEITO;SEM MOTIVO;ABATIMENTO;FABIANA DOS SANTOS CHAVES
4590832797;08/09/2025;32797;PAPELARIA SANTA FE LTDA;MG;BETIM;146395;653235;CANETA GEL TRIS INKFINITY PASTEL BCO CX6; 2,00 ; 14,58 ; 29,17 ;;JONATAS GOMES DE SOUZA;CAIXA;DEFEITO;FALHA NA ESCRITA;ABATIMENTO;ANDREIA AGUIAR GARCIA GASPARONI
4590832479;08/09/2025;32479;BAZAR E PAPELARIA HILLESHEIN LTDA ME;SC;BIGUACU;156090;904706;AQUARELA BAZZE 12 CORES CJTO; 12,00 ; 5,12 ; 61,47 ;;SABRI RIBEIRO REPRESENTACOES E COME;UNIDADE;DEFEITO;DERRETIMENTO;ABATIMENTO;GABRIELA SOUZA DOS SANTOS
4590860493;08/09/2025;60493;FAA DA NOBREGA;CE;MAURITI;157411;910745;COPO PLASTICO TRIS HOLIC SHAKE CX 1UN; 4,00 ; 19,98 ; 79,92 ;;PAUTA REPRESENTACOES LTDA;UNIDADE;DEFEITO;PRODUTO TRINCADO;ABATIMENTO;ADRIANO FALCAO SARMENTO
4590870684;08/09/2025;70684;PAPELARIA ICOENSE LTDA;CE;ICO;155964;910745;COPO PLASTICO TRIS HOLIC SHAKE CX 1UN; 1,00 ; 19,98 ; 19,98 ;;PAUTA REPRESENTACOES LTDA;UNIDADE;DEFEITO;PRODUTO TRINCADO;ABATIMENTO;ADRIANO FALCAO SARMENTO
4590928406;09/09/2025;28406;ALEXANITA LTDA ME;AP;MACAPA;154606;902900;LAPIS GRAF BAZZE HB BORR SEXT CX 72UN; 2,00 ; 21,76 ;;;H M G COMERCIO E REPRESENTACAO LTDA;CAIXA;DEFEITO;BORRACHA AMARELADA;ABATIMENTO;ADRIANO FALCAO SARMENTO
4590980407;09/09/2025;80407;DCM INFO LTDA;RS;CAPAO DA CANOA;;905093;CANETA GEL TRIS RAINBOW 1.0 DP 24UN; 19,00 ;;;;MAX BREUEL E CIA LTDA;UNIDADE;DEFEITO;CANETAS COM VAZAMENTO;ABATIMENTO;ANDREIA AGUIAR GARCIA GASPARONI
4591035650;10/09/2025;35650;CELSO LUIS BELON SERRA NEGRA EPP;SP;SERRA NEGRA;158620;911261;CALCULADORA BOLSO TRIS HOLIC ROSE CX 1UN; 1,00 ; 16,80 ; 16,80 ;;M Y YAMAMOTO REPRESENTACAO;UNIDADE;DEFEITO;DIFEITO NO VISOR NUMERICO;ABATIMENTO;FABIANA DOS SANTOS CHAVES
4591076239;10/09/2025;76239;HTC PAPELARIA E ARMARINHOS LTDA;SP;UBATUBA;;904188;LAPIS PTO PRINCESAS CRISTAL PT 36UN; 72,00 ;;;;REPRESENTACOES J C LEMOS LTDA;UNIDADE;DEFEITO;CRISTAL DA PONTA DESCOLANDO;DEVOLUÇÃO;FABIANA DOS SANTOS CHAVES
4591076239;10/09/2025;76239;HTC PAPELARIA E ARMARINHOS LTDA;SP;UBATUBA;;900678;CANETA BORRACHA TRIS HOLIC DP 12UN; 1,00 ;;;;REPRESENTACOES J C LEMOS LTDA;UNIDADE;AVARIADO;TAMPA TRINCADA;DEVOLUÇÃO;FABIANA DOS SANTOS CHAVES
4591076239;10/09/2025;76239;HTC PAPELARIA E ARMARINHOS LTDA;SP;UBATUBA;;609768;APONTADOR DEP BARBIE PT 12UN; 1,00 ;;;;REPRESENTACOES J C LEMOS LTDA;UNIDADE;DEFEITO;LAMINA DESCOLANDO DA BASE;DEVOLUÇÃO;FABIANA DOS SANTOS CHAVES
4591076239;10/09/2025;76239;HTC PAPELARIA E ARMARINHOS LTDA;SP;UBATUBA;;612805;GRAMP MINI TRIS HOLIC T312 CX12UN; 1,00 ;;;;REPRESENTACOES J C LEMOS LTDA;UNIDADE;DEFEITO;NÃO ESTA GRAMPEANDO;DEVOLUÇÃO;FABIANA DOS SANTOS CHAVES
4591076239;10/09/2025;76239;HTC PAPELARIA E ARMARINHOS LTDA;SP;UBATUBA;;601496;MARCADOR METAL ARTOOLS PTADUPLA AZ AV; 10,00 ;;;;REPRESENTACOES J C LEMOS LTDA;UNIDADE;DEFEITO;PONTAS SECAS;DEVOLUÇÃO;FABIANA DOS SANTOS CHAVES
4591076239;10/09/2025;76239;HTC PAPELARIA E ARMARINHOS LTDA;SP;UBATUBA;;904706;AQUARELA BAZZE 12 CORES CJTO; 6,00 ;;;;REPRESENTACOES J C LEMOS LTDA;UNIDADE;DEFEITO;DERRETIMENTO;DEVOLUÇÃO;FABIANA DOS SANTOS CHAVES
4591080407;10/09/2025;80407;DCM INFO LTDA;RS;CAPAO DA CANOA;905093;905093;CANETA GEL TRIS RAINBOW 1.0 DP 24UN; 1,00 ; 94,76 ; 94,76 ;;MAX BREUEL E CIA LTDA;UNIDADE;DEFEITO;CANETAS COM VAZAMENTO;ABATIMENTO;ANDREIA AGUIAR GARCIA GASPARONI
4591169085;11/09/2025;69085;ANTONIO DENIS ALVES;CE;JUAZEIRO DO NORTE;;901385;CANETA ESF BAZZE PRISMA 1.0 AZ CX 50UN; 3,00 ; 20,18 ; 60,54 ;;PAUTA REPRESENTACOES LTDA;UNIDADE;EXTRAVIADO;FALTA INTERNA DE 3 CANETAS;ABATIMENTO;ADRIANO FALCAO SARMENTO
